,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
3015,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-15,20:32:27,11,VILLA DEL PARQUE,"BEIRO, FRANCISCO AV.",3128.0,-34.5969890865865,-58.497343859345,App BA 147,Femenino,Abierto,,
3016,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-15,13:14:49,4,PARQUE PATRICIOS,PATAGONES,2982.0,-34.6382989543566,-58.4049631080398,App BA 147,Masculino,Abierto,,
3017,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-15,01:57:32,14,PALERMO,GUEMES,4058.0,-34.585585129356,-58.4181861206385,App BA 147,Femenino,Cerrado,17/08/2021,00:00:00
3018,CALLES Y VEREDAS,OTROS,AJUSTE DE CHAPA METÁLICA POR RUIDOS MOLESTOS EN CALLE,Solicitud,2021-08-16,14:13:28,3,SAN CRISTOBAL,JUJUY AV.,1111.0,-34.622665933797,-58.4025378289932,App BA 147,Masculino,Cerrado,17/08/2021,00:00:00
3019,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-16,14:13:20,3,BALVANERA,PASTEUR,582.0,-34.6023676828221,-58.399755829405,App BA 147,Femenino,Cerrado,17/08/2021,00:00:00
3020,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-16,13:14:22,6,CABALLITO,MALVINAS ARGENTINAS,448.0,-34.6296133104834,-58.4496302948584,App BA 147,Femenino,Cerrado,31/08/2021,00:00:00
3021,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-17,13:54:50,13,NUÑEZ,"PEDRAZA, MANUELA",1896.0,-34.5491232348738,-58.4619270541718,GCS Web,Masculino,Abierto,,
3022,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-17,12:18:44,13,BELGRANO,LA PAMPA,3257.0,-34.5697297383846,-58.4627090137804,GCS Web,Masculino,Abierto,,
3023,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-17,21:48:21,2,RECOLETA,ARENALES,2040.0,-34.5945680196753,-58.3965130252126,GCS Web,Femenino,Abierto,,
3024,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-08-17,16:47:41,1,SAN TELMO,CHILE,416.0,-34.6160542858466,-58.3719732323083,App BA 147,Masculino,Abierto,,
